CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,EstimatedSalary,Balance,NumOfProducts,HasCrCard,Tenure_y,IsActiveMember,Exited
15634602,Hargrave,619,FRA,Female,42.0,2,"€ 101,348.88",€ 0.00,1,Yes,2,Yes,1
15634602,Hargrave,619,FRA,Female,42.0,2,"€ 101,348.88",€ 0.00,1,Yes,2,Yes,1
15647311,Hill,608,Spain,Female,41.0,1,"€ 112,542.58","€ 83,807.86",1,Yes,1,Yes,0
15619304,Onio,502,French,Female,42.0,8,"€ 113,931.57","€ 159,660.80",3,No,8,No,1
15701354,Boni,699,FRA,Female,39.0,1,"€ 93,826.63",€ 0.00,2,No,1,No,0
15737888,Mitchell,850,Spain,Female,43.0,2,"€ 79,084.10","€ 125,510.82",1,Yes,2,Yes,0
15574012,Chu,645,Spain,Male,44.0,8,"€ 149,756.71","€ 113,755.78",2,No,8,No,1
15592531,Bartlett,822,France,Male,50.0,7,"€ 10,062.80",€ 0.00,2,Yes,7,Yes,0
15656148,Obinna,376,Germany,Female,29.0,4,"€ 119,346.88","€ 115,046.74",4,No,4,No,1
15792365,He,501,French,Male,44.0,4,"€ 74,940.50","€ 142,051.07",2,Yes,4,Yes,0
15592389,H?,684,France,Male,27.0,2,"€ 71,725.73","€ 134,603.88",1,Yes,2,Yes,0
15767821,Bearce,528,French,Male,31.0,6,"€ 80,181.12","€ 102,016.72",2,No,6,No,0
15737173,Andrews,497,Spain,Male,24.0,3,"€ 76,390.01",€ 0.00,2,No,3,No,0
15632264,Kay,476,FRA,Female,34.0,10,"€ 26,260.98",€ 0.00,2,No,10,No,0
15691483,Chin,549,France,Female,25.0,5,"€ 190,857.79",€ 0.00,2,No,5,No,0
15600882,Scott,635,Spain,Female,35.0,7,"€ 65,951.65",€ 0.00,2,Yes,7,Yes,0
15643966,Goforth,616,Germany,Male,45.0,3,"€ 64,327.26","€ 143,129.41",2,Yes,3,Yes,0
15737452,Romeo,653,Germany,Male,58.0,1,"€ 5,097.67","€ 132,602.88",1,No,1,No,1
15788218,Henderson,549,Spain,Female,24.0,9,"€ 14,406.41",€ 0.00,2,Yes,9,Yes,0
15661507,Muldrow,587,Spain,Male,45.0,6,"€ 158,684.81",€ 0.00,1,No,6,No,0
15568982,Hao,726,French,Female,24.0,6,"€ 54,724.03",€ 0.00,2,Yes,6,Yes,0
15577657,McDonald,732,French,Male,41.0,8,"€ 170,886.17",€ 0.00,2,Yes,8,Yes,0
15597945,Dellucci,636,Spain,Female,32.0,8,"€ 138,555.46",€ 0.00,2,No,8,No,0
15699309,Gerasimov,510,Spain,Female,38.0,4,"€ 118,913.53",€ 0.00,1,No,4,No,1
15725737,Mosman,669,France,Male,46.0,3,"€ 8,487.75",€ 0.00,2,Yes,3,Yes,0
15625047,Yen,846,FRA,Female,38.0,5,"€ 187,616.16",€ 0.00,1,Yes,5,Yes,0
15738191,Maclean,577,France,Male,25.0,3,"€ 124,508.29",€ 0.00,2,Yes,3,Yes,0
15736816,Young,756,Germany,Male,36.0,2,"€ 170,041.95","€ 136,815.64",1,Yes,2,Yes,0
15700772,Nebechi,571,FRA,Male,44.0,9,"€ 38,433.35",€ 0.00,2,No,9,No,0
15728693,,574,Germany,Female,,3,"-€ 999,999","€ 141,349.43",1,Yes,3,Yes,0
15656300,Lucciano,411,French,Male,29.0,0,"€ 53,483.21","€ 59,697.17",2,Yes,0,Yes,0
15589475,Azikiwe,591,Spain,Female,39.0,3,"€ 140,469.38",€ 0.00,3,No,3,No,1
15706552,Odinakachukwu,533,France,Male,36.0,7,"€ 156,731.91","€ 85,311.70",1,Yes,7,Yes,0
15750181,Sanderson,553,Germany,Male,41.0,9,"€ 81,898.81","€ 110,112.54",2,No,9,No,0
15659428,Maggard,520,Spain,Female,42.0,6,"€ 34,410.55",€ 0.00,2,Yes,6,Yes,0
15732963,Clements,722,Spain,Female,29.0,9,"€ 142,033.07",€ 0.00,2,Yes,9,Yes,0
15794171,Lombardo,475,France,Female,45.0,0,"€ 27,822.99","€ 134,264.04",1,No,0,No,1
15788448,Watson,490,Spain,Male,31.0,3,"€ 114,066.77","€ 145,260.23",1,Yes,3,Yes,0
15729599,Lorenzo,804,Spain,Male,33.0,7,"€ 98,453.45","€ 76,548.60",1,Yes,7,Yes,0
